ID,Industry,Company,Opportunity,Candidate,Gender,Age,Race,Institution,Aggregate,Qualification,Disciplines,Progress,Successful
2082,Financial Services,Client A,1,2082,Female,30,Asian,Stellenberg High School,71,National Senior Certificate,,2,False
74,Financial Services,Client A,1,74,Female,18,Black,University of Johannesburg,53,Bachelor of Arts,"Journalism, Languages and Linguistics",3,False
2151,Financial Services,Client A,1,2151,Female,29,Indian,Stellenberg High School,72,National Senior Certificate,,1,False
110,Financial Services,Client A,1,110,Female,24,Asian,Stellenberg High School,55,National Senior Certificate,,2,False
1285,Financial Services,Client A,1,1285,Female,24,Black,University of Cape Town,60,Bachelor of Business Science,"Business and Management Studies, Marketing",1,False
1695,Financial Services,Client A,1,1695,Female,24,Asian,University of Johannesburg,57,Bachelor of Science,"Mathematics, Statistics",2,False
1044,Financial Services,Client A,1,1044,Female,24,Indian,Stellenberg High School,65,National Senior Certificate,,1,False
1028,Financial Services,Client A,1,1028,Female,24,Black,Nelson Mandela University,62,Bachelor of Commerce,"Economics, Statistics",2,False
2112,Financial Services,Client A,1,2112,Female,19,Coloured,University of KwaZulu-Natal,59,Bachelor of Laws,Law,1,False
949,Financial Services,Client A,1,949,Female,21,Black,Stellenberg High School,69,National Senior Certificate,,1,False
2296,Financial Services,Client A,1,2296,Female,29,Coloured,Stellenbosch University,53,Bachelor of Music,"Education, Music",1,False
241,Financial Services,Client A,1,241,Female,23,Indian,University of Johannesburg,54,Bachelor of Arts,Sociology,2,False
652,Financial Services,Client A,1,652,Female,27,Asian,University of Pretoria,56,Bachelor of Commerce,"Economics, Finance, Investments",2,False
49,Financial Services,Client A,1,49,Female,26,Asian,University of Cape Town,62,Bachelor of Commerce,Business and Management Studies,2,False
933,Financial Services,Client A,1,933,Female,18,White,Stellenberg High School,60,National Senior Certificate,,5,True
1348,Financial Services,Client A,1,1348,Female,30,Asian,Stellenberg High School,65,National Senior Certificate,,3,False
556,Financial Services,Client A,1,556,Female,19,White,Stellenbosch University,64,Bachelor of Public Management,Government and Public Sector,1,False
1076,Financial Services,Client A,1,1076,Female,23,Coloured,Stellenberg High School,61,National Senior Certificate,,1,False
599,Financial Services,Client A,1,599,Female,22,Indian,University of KwaZulu-Natal,75,Bachelor of Business Science,Human Resources,1,False
994,Financial Services,Client A,1,994,Female,21,White,Stellenberg High School,54,National Senior Certificate,,1,False
1633,Financial Services,Client A,1,1633,Female,32,White,Stellenberg High School,66,National Senior Certificate,,2,False
1561,Financial Services,Client A,1,1561,Female,23,Indian,University of Johannesburg,61,Bachelor of Commerce (Honours),"General Management, Information Technology",1,False
1302,Financial Services,Client A,1,1302,Female,27,Coloured,University of Cape Town,65,Bachelor of Commerce,"Economics, Philosophy, Politics",4,False
1980,Financial Services,Client A,1,1980,Female,23,Asian,Stellenbosch University,63,Postgraduate Diploma,Geography and Environmental Sciences,2,False
2233,Financial Services,Client A,1,2233,Female,30,Coloured,Stellenberg High School,57,National Senior Certificate,,2,False
530,Financial Services,Client A,1,530,Female,30,White,Stellenberg High School,67,National Senior Certificate,,1,False
2122,Financial Services,Client A,1,2122,Female,22,White,Stellenberg High School,52,National Senior Certificate,,2,False
927,Financial Services,Client A,1,927,Female,22,Indian,Stellenberg High School,69,National Senior Certificate,,1,False
304,Financial Services,Client A,1,304,Female,29,Asian,North-West University,65,Bachelor of Commerce,"Business and Management Studies, Transport and Logistics",1,False
473,Financial Services,Client A,1,473,Female,29,Asian,Stellenbosch University,50,Postgraduate Diploma,Theology and Religious Studies,1,False
