Industry,Company,Opportunity,Candidate,Gender,Age,Race,Institution,Aggregate,Qualification,Progress,Successful,NumCandidates,Discipline_Accounting and Auditing,Discipline_Actuarial Science,Discipline_Business and Management Studies,Discipline_Computer Science,Discipline_Economics,Discipline_Electrical and Electronic Engineering,Discipline_Finance,Discipline_Information Systems,Discipline_Information Technology,Discipline_Investments,Discipline_Law,Discipline_Marketing,Discipline_Mathematics,Discipline_Other,Discipline_Risk Management,Discipline_Statistics
Banking (Commercial & Retail),Client C,3,4,Female,22,Black,University of Johannesburg,89,Bachelor of Science,1,No,357,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Legal,Client B,2,5,Female,27,Black,University of Johannesburg,68,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,6,Female,24,Black,University of Limpopo,70,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,10,Female,21,Black,University of the Western Cape,66,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Banking (Commercial & Retail),Client C,4,11,Female,25,Black,North-West University,65,Bachelor of Commerce (Honours),5,No,503,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Banking (Commercial & Retail),Client C,5,12,Male,26,Black,University of Botswana,77,Bachelor of Engineering,1,No,473,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Legal,Client F,9,16,Female,24,Black,University of Cape Town,57,Master of Laws,1,No,1923,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Automotive,Client G,10,17,Female,22,Black,University of KwaZulu-Natal,61,Bachelor of Commerce (Honours),2,No,647,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Legal,Client B,2,18,Female,28,Black,University of Johannesburg,80,Bachelor of Arts,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Financial services,Client H,11,19,Female,27,Black,University of Cape Town,65,Bachelor of Commerce (Honours),1,No,1157,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Legal,Client B,2,20,Female,23,Black,Nelson Mandela University,67,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
IT & Telecommunications,Client I,12,21,Female,23,Black,Other,79,Bachelor of Engineering,4,No,2191,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Legal,Client B,2,22,Male,28,Black,University of South Africa,62,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Banking (Commercial & Retail),Client C,3,23,Male,23,Black,University of Johannesburg,71,Bachelor of Commerce (Honours),1,No,357,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Legal,Client J,13,24,Male,21,Indian,University of the Witwatersrand,72,Bachelor of Laws,2,No,1679,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client A,1,26,Male,23,Black,University of Johannesburg,66,Bachelor of Laws,1,No,3453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,27,Male,26,Black,University of Pretoria,65,Master of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client F,14,26,Male,23,Black,University of Johannesburg,66,Bachelor of Laws,1,No,2624,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client F,14,28,Male,37,Black,University of the Free State,90,Bachelor of Laws,1,No,2624,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,31,Female,23,Black,University of the Western Cape,67,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client A,1,32,Male,23,Black,University of the Western Cape,72,Bachelor of Laws,2,No,3453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,34,Male,24,Black,North-West University,83,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Retail,Client K,15,36,Male,24,Black,University of Johannesburg,70,Bachelor of Commerce (Honours),1,No,656,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Retail,Client K,15,37,Male,30,Black,Nelson Mandela University,66,Postgraduate Diploma,1,No,656,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Legal,Client B,2,38,Male,24,Coloured,University of Johannesburg,66,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client L,16,40,Male,33,Black,University of South Africa,90,Bachelor of Laws,1,No,2261,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client F,14,42,Female,23,Black,University of Johannesburg,72,Bachelor of Laws,1,No,2624,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client A,1,43,Female,25,Black,University of the Witwatersrand,63,Bachelor of Laws,1,No,3453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Retail,Client K,15,44,Male,24,Black,University of Johannesburg,65,Bachelor of Science,1,No,656,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Legal,Client A,1,47,Female,40,Coloured,Other,50,National Senior Certificate,1,No,3453,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Legal,Client A,1,48,Female,28,Black,University of Pretoria,61,Bachelor of Laws,1,No,3453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client A,1,49,Female,24,Coloured,University of South Africa,74,Bachelor of Laws,1,No,3453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client F,14,32,Male,23,Black,University of the Western Cape,72,Bachelor of Laws,1,No,2624,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,51,Female,24,Black,University of the Western Cape,69,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,52,Female,28,Coloured,The IIE's Varsity College,75,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client A,1,53,Male,27,Black,University of the Western Cape,78,Bachelor of Laws,1,No,3453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Banking (Commercial & Retail),Client C,18,55,Female,25,Black,University of Ghana,77,Bachelor of Arts,1,No,567,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Legal,Client F,14,53,Male,27,Black,University of the Western Cape,78,Bachelor of Laws,1,No,2624,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,57,Female,21,Black,University of Limpopo,65,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,58,Female,23,Black,University of Pretoria,75,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Retail,Client K,15,59,Female,30,Black,Walter Sisulu University,90,Bachelor of Technology,1,No,656,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Legal,Client A,1,60,Female,23,Black,University of the Western Cape,75,Bachelor of Laws,1,No,3453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client A,1,61,Male,27,Black,University of Pretoria,79,Master of Laws,1,No,3453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,62,Female,23,Black,University of the Witwatersrand,74,Bachelor of Commerce,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,65,Male,31,Black,University of South Africa,66,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Accounting & Finance,Client M,19,66,Female,22,Black,University of Pretoria,56,Postgraduate Diploma,2,No,127,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Legal,Client B,2,67,Male,26,Black,University of Limpopo,75,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client E,20,70,Female,22,White,University of South Africa,85,Bachelor of Laws,3,No,1615,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,71,Female,28,Black,University of the Witwatersrand,68,Bachelor of Laws,1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client A,1,72,Female,26,Coloured,University of the Western Cape,69,Bachelor of Laws,1,No,3453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Legal,Client B,2,73,Female,23,White,Nelson Mandela University,78,Bachelor of Laws (Extended Programme),1,No,1443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Banking (Commercial & Retail),Client C,18,74,Other,25,Other,University of Cape Coast,75,Bachelor of Commerce,1,No,567,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
